id_parada,data_hora_inicio,data_hora_fim,aerogerador,subsistema,codigo_alarme,descricao_alarme,tempo_parada_horas,tipo_manutencao
76,2025-01-22 05:35:00,2025-01-22 20:47:00,WTG-19,Hydraulic System,402,High hydraulic pressure,15.2,Corretiva
77,2025-01-22 07:01:00,2025-01-22 15:43:00,WTG-05,Generator,504,Slip ring brush wear limit,8.7,Corretiva
78,2025-01-22 09:09:00,2025-01-22 15:33:00,WTG-20,Pitch System,205,Blade angle asymmetry limit reached,6.4,Corretiva
79,2025-01-22 14:28:00,2025-01-22 16:52:00,WTG-06,Gearbox (Multiplicador),705,Gear mesh frequency vibration,2.4,Corretiva
80,2025-01-22 18:12:00,2025-01-22 20:36:00,WTG-04,Hydraulic System,404,Hydraulic oil low level,2.4,Corretiva
81,2025-01-22 19:04:00,2025-01-23 13:46:00,WTG-22,Sensors / Weather,801,Anemometer mismatch,18.7,Corretiva
82,2025-01-23 07:58:00,2025-01-23 12:10:00,WTG-29,Gearbox (Multiplicador),701,Low oil pressure,4.2,Corretiva
83,2025-01-23 08:54:00,2025-01-23 18:42:00,WTG-19,Converter / Electrical,603,Converter communication failure,9.8,Preventiva
84,2025-01-23 18:47:00,2025-01-24 01:23:00,WTG-02,Converter / Electrical,601,Grid voltage out of limits,6.6,Preventiva
85,2025-01-23 20:03:00,2025-01-24 00:45:00,WTG-27,Pitch System,202,Pitch battery fault,4.7,Corretiva
86,2025-01-24 06:18:00,2025-01-24 18:24:00,WTG-11,Yaw System,305,Yaw inverter fault,12.1,Corretiva
87,2025-01-24 10:06:00,2025-01-24 22:12:00,WTG-19,Hydraulic System,401,Low hydraulic pressure,12.1,Corretiva
88,2025-01-24 13:03:00,2025-01-24 23:15:00,WTG-21,Hydraulic System,405,Valve switching failure,10.2,Corretiva
89,2025-01-24 15:58:00,2025-01-24 18:40:00,WTG-17,Gearbox (Multiplicador),702,High oil temperature,2.7,Corretiva
90,2025-01-25 12:21:00,2025-01-25 17:39:00,WTG-17,Yaw System,305,Yaw inverter fault,5.3,Corretiva
91,2025-01-26 19:55:00,2025-01-27 05:25:00,WTG-01,Gearbox (Multiplicador),704,Oil filter clogged,9.5,Preventiva
92,2025-01-27 05:23:00,2025-01-28 03:59:00,WTG-12,Generator,503,Bearing temperature high,22.6,Corretiva
93,2025-01-27 07:01:00,2025-01-27 18:55:00,WTG-24,Converter / Electrical,603,Converter communication failure,11.9,Corretiva
94,2025-01-27 08:21:00,2025-01-27 18:09:00,WTG-23,Hydraulic System,403,Hydraulic pump motor overload,9.8,Corretiva
95,2025-01-27 14:31:00,2025-01-27 22:43:00,WTG-21,Yaw System,302,Yaw motor overload,8.2,Preventiva
96,2025-01-27 15:53:00,2025-01-27 16:59:00,WTG-01,Hydraulic System,401,Low hydraulic pressure,1.1,Corretiva
97,2025-01-27 16:28:00,2025-01-27 23:34:00,WTG-26,Pitch System,203,Pitch motor overtemperature,7.1,Corretiva
98,2025-01-27 17:39:00,2025-01-27 22:39:00,WTG-02,Sensors / Weather,803,Ice detection on blades,5.0,Preventiva
99,2025-01-27 22:33:00,2025-01-28 02:33:00,WTG-10,Pitch System,202,Pitch battery fault,4.0,Corretiva
100,2025-01-28 00:34:00,2025-01-28 02:22:00,WTG-10,Sensors / Weather,801,Anemometer mismatch,1.8,Corretiva
101,2025-01-28 00:46:00,2025-01-28 03:22:00,WTG-28,Sensors / Weather,801,Anemometer mismatch,2.6,Corretiva
102,2025-01-28 09:21:00,2025-01-28 20:21:00,WTG-06,Generator,503,Bearing temperature high,11.0,Preventiva
103,2025-01-28 12:29:00,2025-01-28 16:59:00,WTG-05,Sensors / Weather,802,Wind vane error,4.5,Corretiva
104,2025-01-28 14:37:00,2025-01-28 18:25:00,WTG-12,Yaw System,302,Yaw motor overload,3.8,Corretiva
105,2025-01-29 07:20:00,2025-01-29 09:44:00,WTG-28,Gearbox (Multiplicador),704,Oil filter clogged,2.4,Corretiva
106,2025-01-29 13:28:00,2025-01-30 00:22:00,WTG-04,Generator,504,Slip ring brush wear limit,10.9,Corretiva
107,2025-01-29 16:30:00,2025-01-29 23:48:00,WTG-19,Gearbox (Multiplicador),705,Gear mesh frequency vibration,7.3,Corretiva
108,2025-01-29 21:00:00,2025-01-30 05:42:00,WTG-29,Pitch System,205,Blade angle asymmetry limit reached,8.7,Corretiva
109,2025-01-30 12:06:00,2025-01-31 03:24:00,WTG-15,Generator,504,Slip ring brush wear limit,15.3,Corretiva
110,2025-01-30 18:46:00,2025-01-30 21:40:00,WTG-28,Hydraulic System,404,Hydraulic oil low level,2.9,Corretiva
111,2025-01-31 11:23:00,2025-01-31 11:53:00,WTG-30,Generator,502,Generator cooling failure,0.5,Corretiva
112,2025-01-31 16:33:00,2025-02-01 01:45:00,WTG-09,Generator,501,High temperature winding,9.2,Corretiva
113,2025-02-01 02:34:00,2025-02-01 11:52:00,WTG-25,Sensors / Weather,804,Ambient temperature out of range,9.3,Corretiva
114,2025-02-01 08:30:00,2025-02-01 14:30:00,WTG-11,Sensors / Weather,802,Wind vane error,6.0,Preventiva
115,2025-02-01 09:42:00,2025-02-01 13:18:00,WTG-06,Gearbox (Multiplicador),702,High oil temperature,3.6,Corretiva
116,2025-02-01 15:13:00,2025-02-01 16:37:00,WTG-03,Converter / Electrical,605,Grid frequency instability,1.4,Corretiva
117,2025-02-01 16:02:00,2025-02-01 17:20:00,WTG-25,Sensors / Weather,801,Anemometer mismatch,1.3,Corretiva
118,2025-02-01 17:05:00,2025-02-02 09:05:00,WTG-21,Generator,502,Generator cooling failure,16.0,Corretiva
119,2025-02-01 18:32:00,2025-02-02 01:32:00,WTG-13,Generator,502,Generator cooling failure,7.0,Corretiva
120,2025-02-01 21:43:00,2025-02-02 02:01:00,WTG-21,Sensors / Weather,802,Wind vane error,4.3,Corretiva
121,2025-02-02 00:42:00,2025-02-02 04:48:00,WTG-27,Sensors / Weather,804,Ambient temperature out of range,4.1,Preventiva
122,2025-02-02 09:28:00,2025-02-02 20:46:00,WTG-24,Yaw System,305,Yaw inverter fault,11.3,Corretiva
123,2025-02-02 11:48:00,2025-02-03 00:54:00,WTG-20,Yaw System,304,Yaw brake failure,13.1,Corretiva
124,2025-02-02 19:59:00,2025-02-03 01:59:00,WTG-12,Gearbox (Multiplicador),705,Gear mesh frequency vibration,6.0,Corretiva
125,2025-02-02 21:19:00,2025-02-03 06:55:00,WTG-13,Generator,505,Generator overspeed,9.6,Preventiva
126,2025-02-03 05:24:00,2025-02-03 17:24:00,WTG-25,Converter / Electrical,601,Grid voltage out of limits,12.0,Corretiva
127,2025-02-03 23:08:00,2025-02-04 05:08:00,WTG-25,Yaw System,302,Yaw motor overload,6.0,Corretiva
128,2025-02-04 13:38:00,2025-02-04 20:02:00,WTG-28,Yaw System,305,Yaw inverter fault,6.4,Preventiva
129,2025-02-04 14:38:00,2025-02-05 00:56:00,WTG-23,Yaw System,305,Yaw inverter fault,10.3,Corretiva
130,2025-02-04 16:02:00,2025-02-04 19:26:00,WTG-16,Pitch System,204,Pitch position sensor error,3.4,Corretiva
131,2025-02-04 17:50:00,2025-02-05 02:08:00,WTG-22,Yaw System,302,Yaw motor overload,8.3,Preventiva
132,2025-02-04 23:19:00,2025-02-05 11:01:00,WTG-06,Yaw System,305,Yaw inverter fault,11.7,Corretiva
133,2025-02-05 14:17:00,2025-02-05 19:29:00,WTG-11,Hydraulic System,402,High hydraulic pressure,5.2,Preventiva
134,2025-02-06 02:28:00,2025-02-06 07:58:00,WTG-24,Pitch System,203,Pitch motor overtemperature,5.5,Corretiva
135,2025-02-06 07:33:00,2025-02-06 13:33:00,WTG-17,Converter / Electrical,601,Grid voltage out of limits,6.0,Corretiva
136,2025-02-06 13:19:00,2025-02-06 14:43:00,WTG-18,Converter / Electrical,604,DC link overvoltage,1.4,Corretiva
137,2025-02-06 15:02:00,2025-02-07 03:38:00,WTG-23,Gearbox (Multiplicador),701,Low oil pressure,12.6,Corretiva
138,2025-02-06 16:48:00,2025-02-06 22:42:00,WTG-27,Pitch System,201,Difference between Pitch angles,5.9,Corretiva
139,2025-02-06 16:51:00,2025-02-06 19:51:00,WTG-29,Sensors / Weather,803,Ice detection on blades,3.0,Corretiva
140,2025-02-07 04:49:00,2025-02-07 08:55:00,WTG-05,Pitch System,202,Pitch battery fault,4.1,Corretiva
141,2025-02-07 17:02:00,2025-02-08 01:32:00,WTG-22,Pitch System,203,Pitch motor overtemperature,8.5,Preventiva
142,2025-02-07 21:49:00,2025-02-08 01:25:00,WTG-23,Gearbox (Multiplicador),705,Gear mesh frequency vibration,3.6,Corretiva
143,2025-02-07 22:13:00,2025-02-08 07:43:00,WTG-29,Sensors / Weather,802,Wind vane error,9.5,Preventiva
144,2025-02-08 00:19:00,2025-02-08 09:19:00,WTG-25,Hydraulic System,403,Hydraulic pump motor overload,9.0,Preventiva
145,2025-02-08 00:20:00,2025-02-08 14:02:00,WTG-11,Hydraulic System,401,Low hydraulic pressure,13.7,Corretiva
146,2025-02-08 01:41:00,2025-02-08 18:05:00,WTG-30,Sensors / Weather,803,Ice detection on blades,16.4,Corretiva
147,2025-02-08 10:07:00,2025-02-08 18:01:00,WTG-17,Yaw System,301,Yaw error,7.9,Preventiva
148,2025-02-09 00:32:00,2025-02-09 06:02:00,WTG-04,Hydraulic System,405,Valve switching failure,5.5,Preventiva
149,2025-02-09 04:21:00,2025-02-09 12:33:00,WTG-06,Converter / Electrical,602,IGBT overtemperature,8.2,Corretiva
150,2025-02-09 04:52:00,2025-02-09 19:16:00,WTG-24,Generator,504,Slip ring brush wear limit,14.4,Corretiva
151,2025-02-09 05:09:00,2025-02-10 05:51:00,WTG-19,Converter / Electrical,602,IGBT overtemperature,24.7,Corretiva
152,2025-02-09 11:53:00,2025-02-09 21:23:00,WTG-20,Converter / Electrical,601,Grid voltage out of limits,9.5,Preventiva
153,2025-02-09 17:06:00,2025-02-09 19:36:00,WTG-25,Hydraulic System,402,High hydraulic pressure,2.5,Corretiva
154,2025-02-09 19:35:00,2025-02-10 03:11:00,WTG-11,Converter / Electrical,603,Converter communication failure,7.6,Preventiva
155,2025-02-09 19:35:00,2025-02-10 10:11:00,WTG-12,Pitch System,205,Blade angle asymmetry limit reached,14.6,Corretiva
156,2025-02-09 20:26:00,2025-02-10 05:32:00,WTG-12,Sensors / Weather,804,Ambient temperature out of range,9.1,Preventiva
157,2025-02-09 20:29:00,2025-02-10 02:35:00,WTG-06,Converter / Electrical,605,Grid frequency instability,6.1,Preventiva
158,2025-02-10 00:06:00,2025-02-10 17:42:00,WTG-14,Hydraulic System,403,Hydraulic pump motor overload,17.6,Corretiva
159,2025-02-10 09:03:00,2025-02-10 10:15:00,WTG-23,Gearbox (Multiplicador),701,Low oil pressure,1.2,Corretiva
160,2025-02-10 10:03:00,2025-02-10 14:57:00,WTG-13,Generator,501,High temperature winding,4.9,Preventiva
161,2025-02-10 18:14:00,2025-02-10 19:26:00,WTG-06,Sensors / Weather,804,Ambient temperature out of range,1.2,Corretiva
162,2025-02-10 19:28:00,2025-02-11 00:22:00,WTG-16,Yaw System,304,Yaw brake failure,4.9,Preventiva
163,2025-02-11 01:11:00,2025-02-11 17:11:00,WTG-13,Hydraulic System,404,Hydraulic oil low level,16.0,Corretiva
164,2025-02-11 14:59:00,2025-02-12 00:23:00,WTG-12,Gearbox (Multiplicador),701,Low oil pressure,9.4,Preventiva
165,2025-02-11 17:26:00,2025-02-11 19:02:00,WTG-12,Converter / Electrical,604,DC link overvoltage,1.6,Corretiva
166,2025-02-11 20:22:00,2025-02-12 07:58:00,WTG-16,Pitch System,201,Difference between Pitch angles,11.6,Preventiva
167,2025-02-11 21:18:00,2025-02-12 12:24:00,WTG-15,Gearbox (Multiplicador),703,Bearing vibration high,15.1,Corretiva
168,2025-02-12 01:18:00,2025-02-12 02:36:00,WTG-05,Pitch System,203,Pitch motor overtemperature,1.3,Corretiva
169,2025-02-12 04:31:00,2025-02-12 17:13:00,WTG-19,Converter / Electrical,604,DC link overvoltage,12.7,Corretiva
170,2025-02-12 09:28:00,2025-02-12 23:52:00,WTG-12,Yaw System,303,Cable twist limit exceeded,14.4,Corretiva
171,2025-02-12 12:02:00,2025-02-12 22:44:00,WTG-16,Sensors / Weather,802,Wind vane error,10.7,Preventiva
172,2025-02-12 12:16:00,2025-02-12 15:16:00,WTG-04,Sensors / Weather,801,Anemometer mismatch,3.0,Corretiva
173,2025-02-12 14:32:00,2025-02-12 17:08:00,WTG-23,Generator,505,Generator overspeed,2.6,Corretiva
174,2025-02-12 14:48:00,2025-02-12 19:12:00,WTG-27,Pitch System,202,Pitch battery fault,4.4,Corretiva
175,2025-02-12 18:26:00,2025-02-12 20:20:00,WTG-10,Generator,504,Slip ring brush wear limit,1.9,Corretiva
176,2025-02-13 05:29:00,2025-02-13 07:29:00,WTG-26,Pitch System,204,Pitch position sensor error,2.0,Corretiva
177,2025-02-13 06:26:00,2025-02-13 20:20:00,WTG-29,Pitch System,204,Pitch position sensor error,13.9,Corretiva
178,2025-02-13 16:40:00,2025-02-13 19:52:00,WTG-09,Generator,503,Bearing temperature high,3.2,Corretiva
179,2025-02-14 02:16:00,2025-02-14 10:34:00,WTG-05,Gearbox (Multiplicador),702,High oil temperature,8.3,Preventiva
180,2025-02-14 06:59:00,2025-02-14 08:05:00,WTG-03,Converter / Electrical,602,IGBT overtemperature,1.1,Corretiva
181,2025-02-14 23:23:00,2025-02-15 10:47:00,WTG-29,Sensors / Weather,804,Ambient temperature out of range,11.4,Corretiva
182,2025-02-15 10:37:00,2025-02-15 21:07:00,WTG-09,Yaw System,301,Yaw error,10.5,Preventiva
183,2025-02-15 11:42:00,2025-02-16 22:36:00,WTG-18,Converter / Electrical,604,DC link overvoltage,34.9,Corretiva
184,2025-02-15 12:19:00,2025-02-15 22:01:00,WTG-17,Sensors / Weather,802,Wind vane error,9.7,Preventiva
185,2025-02-15 16:36:00,2025-02-16 03:06:00,WTG-02,Converter / Electrical,602,IGBT overtemperature,10.5,Preventiva
186,2025-02-15 17:49:00,2025-02-17 05:07:00,WTG-09,Hydraulic System,403,Hydraulic pump motor overload,35.3,Corretiva
187,2025-02-15 21:27:00,2025-02-16 01:33:00,WTG-27,Converter / Electrical,601,Grid voltage out of limits,4.1,Corretiva
188,2025-02-15 21:37:00,2025-02-15 23:01:00,WTG-13,Pitch System,202,Pitch battery fault,1.4,Corretiva
189,2025-02-16 07:23:00,2025-02-16 14:53:00,WTG-20,Generator,503,Bearing temperature high,7.5,Preventiva
190,2025-02-16 12:45:00,2025-02-16 18:57:00,WTG-18,Pitch System,204,Pitch position sensor error,6.2,Corretiva
191,2025-02-16 22:02:00,2025-02-17 16:32:00,WTG-06,Pitch System,205,Blade angle asymmetry limit reached,18.5,Corretiva
192,2025-02-17 01:32:00,2025-02-17 08:08:00,WTG-16,Converter / Electrical,603,Converter communication failure,6.6,Preventiva
193,2025-02-17 08:26:00,2025-02-17 12:44:00,WTG-26,Converter / Electrical,603,Converter communication failure,4.3,Corretiva
194,2025-02-17 14:43:00,2025-02-17 18:31:00,WTG-13,Generator,504,Slip ring brush wear limit,3.8,Corretiva
195,2025-02-18 04:16:00,2025-02-18 11:28:00,WTG-19,Yaw System,302,Yaw motor overload,7.2,Corretiva
196,2025-02-18 05:05:00,2025-02-18 08:41:00,WTG-05,Sensors / Weather,801,Anemometer mismatch,3.6,Corretiva
197,2025-02-18 07:52:00,2025-02-18 09:22:00,WTG-19,Yaw System,301,Yaw error,1.5,Corretiva
198,2025-02-18 09:02:00,2025-02-18 19:08:00,WTG-10,Gearbox (Multiplicador),705,Gear mesh frequency vibration,10.1,Corretiva
199,2025-02-18 15:38:00,2025-02-19 03:14:00,WTG-02,Generator,504,Slip ring brush wear limit,11.6,Corretiva
200,2025-02-18 18:00:00,2025-02-18 23:18:00,WTG-21,Hydraulic System,405,Valve switching failure,5.3,Preventiva
201,2025-02-18 19:34:00,2025-02-19 03:34:00,WTG-08,Yaw System,305,Yaw inverter fault,8.0,Preventiva
202,2025-02-18 22:17:00,2025-02-18 23:41:00,WTG-23,Sensors / Weather,802,Wind vane error,1.4,Corretiva
203,2025-02-19 06:37:00,2025-02-19 17:55:00,WTG-24,Sensors / Weather,802,Wind vane error,11.3,Corretiva
204,2025-02-19 06:38:00,2025-02-19 09:20:00,WTG-02,Gearbox (Multiplicador),702,High oil temperature,2.7,Corretiva
205,2025-02-19 07:18:00,2025-02-19 12:24:00,WTG-30,Sensors / Weather,803,Ice detection on blades,5.1,Preventiva
206,2025-02-19 08:47:00,2025-02-19 18:53:00,WTG-17,Pitch System,202,Pitch battery fault,10.1,Corretiva
207,2025-02-19 19:24:00,2025-02-20 01:00:00,WTG-27,Generator,504,Slip ring brush wear limit,5.6,Corretiva
208,2025-02-19 20:52:00,2025-02-20 07:10:00,WTG-29,Hydraulic System,405,Valve switching failure,10.3,Preventiva
209,2025-02-20 02:42:00,2025-02-20 14:12:00,WTG-30,Pitch System,203,Pitch motor overtemperature,11.5,Preventiva
210,2025-02-20 10:06:00,2025-02-20 15:30:00,WTG-12,Converter / Electrical,603,Converter communication failure,5.4,Corretiva
211,2025-02-20 10:54:00,2025-02-20 22:06:00,WTG-09,Gearbox (Multiplicador),704,Oil filter clogged,11.2,Corretiva
212,2025-02-20 13:18:00,2025-02-21 00:24:00,WTG-07,Pitch System,203,Pitch motor overtemperature,11.1,Preventiva
213,2025-02-20 15:45:00,2025-02-20 20:27:00,WTG-17,Hydraulic System,405,Valve switching failure,4.7,Corretiva
214,2025-02-20 18:24:00,2025-02-21 03:24:00,WTG-29,Sensors / Weather,802,Wind vane error,9.0,Preventiva
215,2025-02-21 03:21:00,2025-02-21 16:03:00,WTG-07,Converter / Electrical,601,Grid voltage out of limits,12.7,Corretiva
216,2025-02-21 04:53:00,2025-02-21 07:53:00,WTG-28,Converter / Electrical,604,DC link overvoltage,3.0,Corretiva
217,2025-02-21 05:36:00,2025-02-21 14:30:00,WTG-17,Pitch System,205,Blade angle asymmetry limit reached,8.9,Preventiva
