id_parada,data_hora_inicio,data_hora_fim,aerogerador,subsistema,codigo_alarme,descricao_alarme,tempo_parada_horas,tipo_parada
36,2025-01-12 20:32:00,2025-01-12 23:08:00,WTG-14,Electrical,602,IGBT overtemperature,2.6,TRIP
37,2025-01-13 00:07:00,2025-01-13 02:25:00,WTG-18,Pitch System,205,Blade angle asymmetry limit reached,2.3,TRIP
38,2025-01-13 01:24:00,2025-01-14 10:48:00,WTG-15,Sensors,804,Ambient temperature out of range,33.4,TRIP
39,2025-01-13 09:00:00,2025-01-16 09:00:00,WTG-02,PCM-PROG,001,manual stop_maintenance,72.0,Preventive
40,2025-01-13 09:28:00,2025-01-14 07:46:00,WTG-22,PCM-CORR,002,manual stop_repair,22.3,Corrective
41,2025-01-13 13:46:00,2025-01-14 01:16:00,WTG-21,Hydraulic System,404,Hydraulic oil low level,11.5,TRIP
42,2025-01-13 14:18:00,2025-01-13 17:42:00,WTG-03,PCM-CORR,002,manual stop_repair,3.4,Corrective
43,2025-01-14 12:12:00,2025-01-15 00:12:00,WTG-17,Hydraulic System,403,Hydraulic pump motor overload,12.0,TRIP
44,2025-01-14 13:35:00,2025-01-14 17:11:00,WTG-02,Sensors,803,Ice detection on blades,3.6,TRIP
45,2025-01-14 13:37:00,2025-01-15 04:31:00,WTG-18,Electrical,603,Converter communication failure,14.9,TRIP
46,2025-01-14 14:13:00,2025-01-15 00:01:00,WTG-19,Pitch System,202,Pitch battery fault,9.8,TRIP
47,2025-01-14 21:03:00,2025-01-15 02:45:00,WTG-04,Yaw System,305,Yaw inverter fault,5.7,TRIP
48,2025-01-15 00:18:00,2025-01-15 09:42:00,WTG-09,Sensors,801,Anemometer mismatch,9.4,TRIP
49,2025-01-15 08:24:00,2025-01-15 10:24:00,WTG-27,Generator,505,Generator overspeed,2.0,TRIP
50,2025-01-15 10:46:00,2025-01-15 17:04:00,WTG-11,PCM-CORR,002,manual stop_repair,6.3,Corrective
51,2025-01-15 23:37:00,2025-01-16 12:13:00,WTG-21,Generator,505,Generator overspeed,12.6,TRIP
52,2025-01-16 03:25:00,2025-01-16 07:55:00,WTG-04,Electrical,602,IGBT overtemperature,4.5,TRIP
53,2025-01-16 20:49:00,2025-01-16 22:55:00,WTG-08,Pitch System,205,Blade angle asymmetry limit reached,2.1,TRIP
54,2025-01-16 23:03:00,2025-01-17 17:33:00,WTG-24,PCM-CORR,002,manual stop_repair,18.5,Corrective
55,2025-01-17 08:36:00,2025-01-17 12:48:00,WTG-17,Sensors,803,Ice detection on blades,4.2,TRIP
56,2025-01-17 08:55:00,2025-01-17 10:07:00,WTG-30,Pitch System,205,Blade angle asymmetry limit reached,1.2,TRIP
57,2025-01-18 04:23:00,2025-01-18 08:53:00,WTG-18,Pitch System,203,Pitch motor overtemperature,4.5,TRIP
58,2025-01-18 05:11:00,2025-01-18 20:17:00,WTG-05,PCM-CORR,002,manual stop_repair,15.1,Corrective
59,2025-01-18 08:54:00,2025-01-19 19:18:00,WTG-20,PCM-CORR,002,manual stop_repair,34.4,Corrective
60,2025-01-18 09:06:00,2025-01-18 17:42:00,WTG-13,PCM-CORR,002,manual stop_repair,8.6,Corrective
61,2025-01-18 21:24:00,2025-01-19 20:42:00,WTG-05,Hydraulic System,403,Hydraulic pump motor overload,23.3,TRIP
62,2025-01-18 22:39:00,2025-01-19 22:09:00,WTG-24,Hydraulic System,402,High hydraulic pressure,23.5,TRIP
63,2025-01-19 02:50:00,2025-01-19 10:32:00,WTG-29,Hydraulic System,404,Hydraulic oil low level,7.7,TRIP
64,2025-01-19 05:43:00,2025-01-19 06:25:00,WTG-18,Generator,502,Generator cooling failure,0.7,TRIP
65,2025-01-19 07:41:00,2025-01-19 09:41:00,WTG-02,Yaw System,305,Yaw inverter fault,2.0,TRIP
66,2025-01-19 08:22:00,2025-01-19 15:22:00,WTG-25,Hydraulic System,403,Hydraulic pump motor overload,7.0,TRIP
67,2025-01-19 09:46:00,2025-01-19 20:10:00,WTG-30,Yaw System,304,Yaw brake failure,10.4,TRIP
68,2025-01-19 20:39:00,2025-01-20 00:39:00,WTG-18,Hydraulic System,402,High hydraulic pressure,4.0,TRIP
69,2025-01-20 09:30:00,2025-01-20 12:24:00,WTG-25,Generator,502,Generator cooling failure,2.9,TRIP
70,2025-01-21 01:52:00,2025-01-21 10:28:00,WTG-22,Hydraulic System,403,Hydraulic pump motor overload,8.6,TRIP
71,2025-01-21 02:22:00,2025-01-22 23:22:00,WTG-26,Electrical,605,Grid frequency instability,45.0,TRIP
72,2025-01-21 08:00:00,2025-01-24 08:00:00,WTG-27,PCM-PROG,001,manual stop_maintenance,72.0,Preventive
73,2025-01-22 04:24:00,2025-01-23 00:12:00,WTG-11,PCM-CORR,002,manual stop_repair,19.8,Corrective
74,2025-01-22 07:27:00,2025-01-23 06:39:00,WTG-03,PCM-CORR,002,manual stop_repair,23.2,Corrective
75,2025-01-22 07:55:00,2025-01-23 04:43:00,WTG-08,Gearbox,705,Gear mesh frequency vibration,20.8,TRIP
76,2025-01-22 08:00:00,2025-01-25 08:00:00,WTG-16,PCM-PROG,001,manual stop_maintenance,72.0,Preventive
77,2025-01-22 09:53:00,2025-01-22 20:23:00,WTG-10,PCM-CORR,002,manual stop_repair,10.5,Corrective
78,2025-01-22 11:05:00,2025-01-22 13:41:00,WTG-09,Gearbox,703,Bearing vibration high,2.6,TRIP
79,2025-01-22 11:37:00,2025-01-23 06:31:00,WTG-01,Yaw System,304,Yaw brake failure,18.9,TRIP
80,2025-01-22 22:14:00,2025-01-23 00:14:00,WTG-06,Gearbox,705,Gear mesh frequency vibration,2.0,TRIP
81,2025-01-22 22:29:00,2025-01-23 02:47:00,WTG-16,Gearbox,702,High oil temperature,4.3,TRIP
82,2025-01-23 07:33:00,2025-01-23 23:03:00,WTG-30,Pitch System,205,Blade angle asymmetry limit reached,15.5,TRIP
83,2025-01-23 21:19:00,2025-01-24 03:01:00,WTG-05,Sensors,804,Ambient temperature out of range,5.7,TRIP
84,2025-01-23 22:20:00,2025-01-24 10:38:00,WTG-14,Gearbox,704,Oil filter clogged,12.3,TRIP
85,2025-01-24 03:04:00,2025-01-24 12:58:00,WTG-29,Hydraulic System,405,Valve switching failure,9.9,TRIP
86,2025-01-24 09:00:00,2025-01-27 09:00:00,WTG-23,PCM-PROG,001,manual stop_maintenance,72.0,Preventive
87,2025-01-24 13:39:00,2025-01-25 07:45:00,WTG-20,Gearbox,702,High oil temperature,18.1,TRIP
88,2025-01-24 18:37:00,2025-01-24 20:07:00,WTG-18,Generator,501,High temperature winding,1.5,TRIP
89,2025-01-24 23:15:00,2025-01-25 05:45:00,WTG-26,Hydraulic System,401,Low hydraulic pressure,6.5,TRIP
90,2025-01-25 04:35:00,2025-01-25 22:53:00,WTG-03,PCM-CORR,002,manual stop_repair,18.3,Corrective
91,2025-01-25 20:56:00,2025-01-25 23:26:00,WTG-23,Gearbox,701,Low oil pressure,2.5,TRIP
92,2025-01-26 05:08:00,2025-01-26 11:56:00,WTG-08,Generator,503,Bearing temperature high,6.8,TRIP
93,2025-01-26 17:53:00,2025-01-27 00:23:00,WTG-24,Electrical,601,Grid voltage out of limits,6.5,TRIP
94,2025-01-26 17:54:00,2025-01-27 07:00:00,WTG-06,Sensors,803,Ice detection on blades,13.1,TRIP
95,2025-01-26 21:08:00,2025-01-27 05:26:00,WTG-16,PCM-CORR,002,manual stop_repair,8.3,Corrective
96,2025-01-27 01:32:00,2025-01-27 05:38:00,WTG-11,PCM-CORR,002,manual stop_repair,4.1,Corrective
97,2025-01-27 03:09:00,2025-01-27 07:09:00,WTG-05,Sensors,803,Ice detection on blades,4.0,TRIP
98,2025-01-27 13:08:00,2025-01-28 02:32:00,WTG-17,Gearbox,705,Gear mesh frequency vibration,13.4,TRIP
99,2025-01-27 15:05:00,2025-01-28 15:59:00,WTG-18,Pitch System,203,Pitch motor overtemperature,24.9,TRIP
100,2025-01-27 21:12:00,2025-01-28 01:48:00,WTG-24,Pitch System,202,Pitch battery fault,4.6,TRIP
101,2025-01-28 01:09:00,2025-01-28 03:57:00,WTG-30,Gearbox,701,Low oil pressure,2.8,TRIP
102,2025-01-28 03:27:00,2025-01-28 17:33:00,WTG-10,PCM-CORR,002,manual stop_repair,14.1,Corrective
103,2025-01-28 07:00:00,2025-01-28 11:48:00,WTG-17,Gearbox,701,Low oil pressure,4.8,TRIP
104,2025-01-28 09:43:00,2025-01-29 06:55:00,WTG-02,PCM-CORR,002,manual stop_repair,21.2,Corrective
105,2025-01-28 10:13:00,2025-01-28 13:49:00,WTG-04,Hydraulic System,402,High hydraulic pressure,3.6,TRIP
106,2025-01-28 22:01:00,2025-01-29 02:13:00,WTG-07,Electrical,602,IGBT overtemperature,4.2,TRIP
107,2025-01-28 23:38:00,2025-01-29 11:32:00,WTG-29,PCM-CORR,002,manual stop_repair,11.9,Corrective
108,2025-01-29 01:14:00,2025-01-29 14:32:00,WTG-06,Generator,504,Slip ring brush wear limit,13.3,TRIP
109,2025-01-29 07:13:00,2025-01-29 11:55:00,WTG-13,PCM-CORR,002,manual stop_repair,4.7,Corrective
110,2025-01-29 09:15:00,2025-01-29 12:03:00,WTG-14,Sensors,802,Wind vane error,2.8,TRIP
111,2025-01-29 09:22:00,2025-01-29 10:04:00,WTG-19,Gearbox,705,Gear mesh frequency vibration,0.7,TRIP
112,2025-01-29 14:45:00,2025-01-30 01:03:00,WTG-04,Generator,501,High temperature winding,10.3,TRIP
113,2025-01-29 17:37:00,2025-01-30 16:43:00,WTG-09,PCM-CORR,002,manual stop_repair,23.1,Corrective
114,2025-01-29 20:09:00,2025-01-30 07:45:00,WTG-26,PCM-CORR,002,manual stop_repair,11.6,Corrective
115,2025-01-29 20:11:00,2025-01-30 05:47:00,WTG-28,Generator,505,Generator overspeed,9.6,TRIP
116,2025-01-30 02:20:00,2025-01-30 04:20:00,WTG-08,Pitch System,203,Pitch motor overtemperature,2.0,TRIP
117,2025-01-30 03:19:00,2025-01-31 06:55:00,WTG-16,Pitch System,201,Difference between Pitch angles,27.6,TRIP
118,2025-01-30 03:46:00,2025-01-30 08:46:00,WTG-06,PCM-CORR,002,manual stop_repair,5.0,Corrective
119,2025-01-31 09:00:00,2025-02-03 09:00:00,WTG-10,PCM-PROG,001,manual stop_maintenance,72.0,Preventive
120,2025-01-31 12:44:00,2025-02-01 21:56:00,WTG-22,PCM-CORR,002,manual stop_repair,33.2,Corrective
121,2025-01-31 18:29:00,2025-02-01 00:35:00,WTG-01,Gearbox,704,Oil filter clogged,6.1,TRIP
122,2025-01-31 19:48:00,2025-02-01 08:54:00,WTG-18,Electrical,602,IGBT overtemperature,13.1,TRIP
123,2025-02-01 05:46:00,2025-02-01 08:58:00,WTG-17,Sensors,804,Ambient temperature out of range,3.2,TRIP
124,2025-02-01 09:00:00,2025-02-04 09:00:00,WTG-29,PCM-PROG,001,manual stop_maintenance,72.0,Preventive
125,2025-02-01 20:00:00,2025-02-03 05:48:00,WTG-02,PCM-CORR,002,manual stop_repair,33.8,Corrective
126,2025-02-02 08:53:00,2025-02-02 10:47:00,WTG-08,Sensors,802,Wind vane error,1.9,TRIP
127,2025-02-02 17:40:00,2025-02-02 22:10:00,WTG-12,Yaw System,303,Cable twist limit exceeded,4.5,TRIP
128,2025-02-03 05:04:00,2025-02-03 11:28:00,WTG-29,Sensors,803,Ice detection on blades,6.4,TRIP
129,2025-02-03 12:55:00,2025-02-03 14:13:00,WTG-09,Yaw System,305,Yaw inverter fault,1.3,TRIP
130,2025-02-03 14:52:00,2025-02-04 03:10:00,WTG-14,PCM-CORR,002,manual stop_repair,12.3,Corrective
131,2025-02-03 15:19:00,2025-02-03 16:43:00,WTG-16,Electrical,605,Grid frequency instability,1.4,TRIP
132,2025-02-03 16:30:00,2025-02-03 17:18:00,WTG-15,Gearbox,705,Gear mesh frequency vibration,0.8,TRIP
133,2025-02-03 19:22:00,2025-02-04 15:16:00,WTG-10,Sensors,802,Wind vane error,19.9,TRIP
134,2025-02-03 19:35:00,2025-02-03 21:29:00,WTG-24,Pitch System,201,Difference between Pitch angles,1.9,TRIP
135,2025-02-04 10:41:00,2025-02-04 13:29:00,WTG-07,Yaw System,304,Yaw brake failure,2.8,TRIP
136,2025-02-04 16:45:00,2025-02-04 18:51:00,WTG-21,Electrical,605,Grid frequency instability,2.1,TRIP
137,2025-02-04 18:01:00,2025-02-05 01:31:00,WTG-13,Pitch System,204,Pitch position sensor error,7.5,TRIP
138,2025-02-04 23:07:00,2025-02-05 03:19:00,WTG-23,Yaw System,302,Yaw motor overload,4.2,TRIP
139,2025-02-05 00:20:00,2025-02-05 08:56:00,WTG-15,PCM-CORR,002,manual stop_repair,8.6,Corrective
140,2025-02-05 17:02:00,2025-02-05 18:26:00,WTG-10,Yaw System,304,Yaw brake failure,1.4,TRIP
141,2025-02-05 21:50:00,2025-02-05 23:08:00,WTG-09,Sensors,803,Ice detection on blades,1.3,TRIP
142,2025-02-05 23:23:00,2025-02-06 04:23:00,WTG-10,Generator,501,High temperature winding,5.0,TRIP
143,2025-02-06 01:14:00,2025-02-06 19:38:00,WTG-26,Sensors,804,Ambient temperature out of range,18.4,TRIP
144,2025-02-06 13:48:00,2025-02-06 22:54:00,WTG-18,Sensors,801,Anemometer mismatch,9.1,TRIP
145,2025-02-06 17:24:00,2025-02-07 00:18:00,WTG-01,Gearbox,705,Gear mesh frequency vibration,6.9,TRIP
146,2025-02-07 02:11:00,2025-02-07 04:35:00,WTG-30,PCM-CORR,002,manual stop_repair,2.4,Corrective
147,2025-02-07 09:00:00,2025-02-10 09:00:00,WTG-05,PCM-PROG,001,manual stop_maintenance,72.0,Preventive
148,2025-02-07 12:21:00,2025-02-07 15:33:00,WTG-03,Gearbox,705,Gear mesh frequency vibration,3.2,TRIP
149,2025-02-08 03:46:00,2025-02-08 08:28:00,WTG-26,Hydraulic System,403,Hydraulic pump motor overload,4.7,TRIP
150,2025-02-08 05:26:00,2025-02-08 13:44:00,WTG-16,Electrical,605,Grid frequency instability,8.3,TRIP
151,2025-02-08 06:03:00,2025-02-08 16:03:00,WTG-02,Gearbox,701,Low oil pressure,10.0,TRIP
152,2025-02-08 10:23:00,2025-02-08 16:29:00,WTG-18,PCM-CORR,002,manual stop_repair,6.1,Corrective
153,2025-02-08 18:54:00,2025-02-08 22:12:00,WTG-25,Generator,505,Generator overspeed,3.3,TRIP
154,2025-02-08 22:26:00,2025-02-09 13:56:00,WTG-17,Generator,505,Generator overspeed,15.5,TRIP
155,2025-02-09 10:00:00,2025-02-10 07:06:00,WTG-19,Generator,503,Bearing temperature high,21.1,TRIP
156,2025-02-09 19:39:00,2025-02-09 23:27:00,WTG-18,Sensors,803,Ice detection on blades,3.8,TRIP
157,2025-02-09 21:26:00,2025-02-10 05:02:00,WTG-14,Gearbox,701,Low oil pressure,7.6,TRIP
158,2025-02-10 07:00:00,2025-02-13 07:00:00,WTG-28,PCM-PROG,001,manual stop_maintenance,72.0,Preventive
159,2025-02-10 09:00:00,2025-02-13 09:00:00,WTG-03,PCM-PROG,001,manual stop_maintenance,72.0,Preventive
160,2025-02-10 21:46:00,2025-02-11 01:16:00,WTG-22,Pitch System,204,Pitch position sensor error,3.5,TRIP
161,2025-02-11 00:49:00,2025-02-11 07:01:00,WTG-03,Generator,505,Generator overspeed,6.2,TRIP
162,2025-02-11 07:00:00,2025-02-14 07:00:00,WTG-08,PCM-PROG,001,manual stop_maintenance,72.0,Preventive
163,2025-02-11 08:31:00,2025-02-11 14:25:00,WTG-02,Pitch System,201,Difference between Pitch angles,5.9,TRIP
164,2025-02-11 16:05:00,2025-02-12 01:05:00,WTG-22,Sensors,801,Anemometer mismatch,9.0,TRIP
165,2025-02-11 19:16:00,2025-02-12 14:22:00,WTG-01,PCM-CORR,002,manual stop_repair,19.1,Corrective
166,2025-02-12 01:53:00,2025-02-12 06:59:00,WTG-01,Yaw System,305,Yaw inverter fault,5.1,TRIP
167,2025-02-12 08:00:00,2025-02-15 08:00:00,WTG-24,PCM-PROG,001,manual stop_maintenance,72.0,Preventive
168,2025-02-12 12:57:00,2025-02-13 16:21:00,WTG-04,Electrical,605,Grid frequency instability,27.4,TRIP
169,2025-02-12 17:05:00,2025-02-12 22:41:00,WTG-04,Hydraulic System,401,Low hydraulic pressure,5.6,TRIP
170,2025-02-13 03:01:00,2025-02-13 04:25:00,WTG-30,Sensors,801,Anemometer mismatch,1.4,TRIP
171,2025-02-13 07:00:00,2025-02-16 07:00:00,WTG-18,PCM-PROG,001,manual stop_maintenance,72.0,Preventive
172,2025-02-13 10:03:00,2025-02-13 17:15:00,WTG-28,Yaw System,305,Yaw inverter fault,7.2,TRIP
173,2025-02-13 14:39:00,2025-02-13 15:57:00,WTG-14,Gearbox,703,Bearing vibration high,1.3,TRIP
174,2025-02-14 04:22:00,2025-02-15 03:10:00,WTG-16,PCM-CORR,002,manual stop_repair,22.8,Corrective
175,2025-02-14 08:00:00,2025-02-17 08:00:00,WTG-04,PCM-PROG,001,manual stop_maintenance,72.0,Preventive
176,2025-02-14 08:22:00,2025-02-14 13:40:00,WTG-25,Gearbox,705,Gear mesh frequency vibration,5.3,TRIP
177,2025-02-14 09:31:00,2025-02-14 22:31:00,WTG-11,Electrical,603,Converter communication failure,13.0,TRIP
178,2025-02-14 14:11:00,2025-02-14 20:47:00,WTG-01,Yaw System,302,Yaw motor overload,6.6,TRIP
179,2025-02-14 15:49:00,2025-02-15 16:55:00,WTG-15,Pitch System,204,Pitch position sensor error,25.1,TRIP
180,2025-02-14 21:36:00,2025-02-14 23:36:00,WTG-17,Pitch System,205,Blade angle asymmetry limit reached,2.0,TRIP
181,2025-02-14 22:20:00,2025-02-15 12:02:00,WTG-02,Gearbox,702,High oil temperature,13.7,TRIP
182,2025-02-15 08:11:00,2025-02-15 23:05:00,WTG-09,PCM-CORR,002,manual stop_repair,14.9,Corrective
183,2025-02-15 15:15:00,2025-02-15 17:15:00,WTG-14,PCM-CORR,002,manual stop_repair,2.0,Corrective
184,2025-02-16 02:22:00,2025-02-16 16:58:00,WTG-22,Electrical,604,DC link overvoltage,14.6,TRIP
185,2025-02-16 04:53:00,2025-02-16 14:35:00,WTG-12,PCM-CORR,002,manual stop_repair,9.7,Corrective
186,2025-02-16 13:11:00,2025-02-17 06:59:00,WTG-20,Generator,505,Generator overspeed,17.8,TRIP
187,2025-02-16 13:17:00,2025-02-17 03:17:00,WTG-15,PCM-CORR,002,manual stop_repair,14.0,Corrective
188,2025-02-16 19:18:00,2025-02-17 02:54:00,WTG-14,Electrical,601,Grid voltage out of limits,7.6,TRIP
189,2025-02-17 05:10:00,2025-02-18 06:10:00,WTG-03,Generator,504,Slip ring brush wear limit,25.0,TRIP
190,2025-02-17 08:35:00,2025-02-17 10:11:00,WTG-06,Hydraulic System,402,High hydraulic pressure,1.6,TRIP
191,2025-02-17 13:50:00,2025-02-18 14:32:00,WTG-01,Hydraulic System,403,Hydraulic pump motor overload,24.7,TRIP
192,2025-02-17 17:10:00,2025-02-17 18:34:00,WTG-08,Gearbox,701,Low oil pressure,1.4,TRIP
193,2025-02-17 20:40:00,2025-02-18 08:52:00,WTG-14,Gearbox,704,Oil filter clogged,12.2,TRIP
194,2025-02-18 05:40:00,2025-02-18 15:22:00,WTG-05,Generator,501,High temperature winding,9.7,TRIP
195,2025-02-18 06:14:00,2025-02-18 08:44:00,WTG-13,Gearbox,704,Oil filter clogged,2.5,TRIP
196,2025-02-18 15:47:00,2025-02-18 20:11:00,WTG-04,Sensors,803,Ice detection on blades,4.4,TRIP
197,2025-02-18 18:30:00,2025-02-20 05:36:00,WTG-04,Pitch System,205,Blade angle asymmetry limit reached,35.1,TRIP
198,2025-02-18 18:41:00,2025-02-18 21:35:00,WTG-11,Gearbox,703,Bearing vibration high,2.9,TRIP
199,2025-02-19 00:10:00,2025-02-19 06:04:00,WTG-21,PCM-CORR,002,manual stop_repair,5.9,Corrective
200,2025-02-19 09:00:00,2025-02-22 09:00:00,WTG-30,PCM-PROG,001,manual stop_maintenance,72.0,Preventive
201,2025-02-19 11:52:00,2025-02-19 12:22:00,WTG-21,Sensors,804,Ambient temperature out of range,0.5,TRIP
202,2025-02-19 12:00:00,2025-02-20 22:06:00,WTG-03,PCM-CORR,002,manual stop_repair,34.1,Corrective
203,2025-02-19 17:09:00,2025-02-20 02:51:00,WTG-28,Gearbox,702,High oil temperature,9.7,TRIP
204,2025-02-20 09:00:00,2025-02-23 09:00:00,WTG-06,PCM-PROG,001,manual stop_maintenance,72.0,Preventive
205,2025-02-20 20:50:00,2025-02-21 11:50:00,WTG-06,PCM-CORR,002,manual stop_repair,15.0,Corrective
206,2025-02-21 01:08:00,2025-02-21 02:02:00,WTG-25,Sensors,801,Anemometer mismatch,0.9,TRIP
207,2025-02-21 23:13:00,2025-02-23 01:13:00,WTG-11,PCM-CORR,002,manual stop_repair,26.0,Corrective
208,2025-02-22 04:45:00,2025-02-22 09:15:00,WTG-18,Yaw System,302,Yaw motor overload,4.5,TRIP
209,2025-02-23 12:09:00,2025-02-24 12:51:00,WTG-29,PCM-CORR,002,manual stop_repair,24.7,Corrective
210,2025-02-23 19:50:00,2025-02-24 15:14:00,WTG-02,PCM-CORR,002,manual stop_repair,19.4,Corrective
211,2025-02-23 22:02:00,2025-02-24 12:44:00,WTG-02,Electrical,604,DC link overvoltage,14.7,TRIP
212,2025-02-23 23:28:00,2025-02-25 04:28:00,WTG-07,Hydraulic System,401,Low hydraulic pressure,29.0,TRIP
213,2025-02-24 01:14:00,2025-02-24 07:02:00,WTG-05,Yaw System,302,Yaw motor overload,5.8,TRIP
214,2025-02-24 06:39:00,2025-02-25 07:33:00,WTG-10,Sensors,804,Ambient temperature out of range,24.9,TRIP
215,2025-02-24 09:25:00,2025-02-24 11:43:00,WTG-26,Generator,502,Generator cooling failure,2.3,TRIP
216,2025-02-24 16:25:00,2025-02-25 02:31:00,WTG-26,PCM-CORR,002,manual stop_repair,10.1,Corrective
217,2025-02-24 18:00:00,2025-02-25 23:06:00,WTG-13,Yaw System,303,Cable twist limit exceeded,29.1,TRIP
218,2025-02-24 21:02:00,2025-02-25 11:56:00,WTG-25,PCM-CORR,002,manual stop_repair,14.9,Corrective
219,2025-02-25 02:35:00,2025-02-25 16:47:00,WTG-13,PCM-CORR,002,manual stop_repair,14.2,Corrective
220,2025-02-25 07:00:00,2025-02-28 07:00:00,WTG-17,PCM-PROG,001,manual stop_maintenance,72.0,Preventive
221,2025-02-25 09:00:00,2025-02-28 09:00:00,WTG-11,PCM-PROG,001,manual stop_maintenance,72.0,Preventive
222,2025-02-25 10:03:00,2025-02-25 20:27:00,WTG-25,Generator,501,High temperature winding,10.4,TRIP
223,2025-02-25 18:04:00,2025-02-25 19:58:00,WTG-19,Pitch System,205,Blade angle asymmetry limit reached,1.9,TRIP
224,2025-02-25 19:26:00,2025-02-26 05:26:00,WTG-12,Yaw System,304,Yaw brake failure,10.0,TRIP
225,2025-02-25 23:06:00,2025-02-27 07:00:00,WTG-23,Generator,504,Slip ring brush wear limit,31.9,TRIP
226,2025-02-26 07:00:00,2025-03-01 07:00:00,WTG-20,PCM-PROG,001,manual stop_maintenance,72.0,Preventive
227,2025-02-26 07:28:00,2025-02-26 08:58:00,WTG-28,Generator,504,Slip ring brush wear limit,1.5,TRIP
